year,month,wdsp,station
2005,1,15.5,Belmullet
2005,2,9.1,Belmullet
2005,3,11.7,Belmullet
2005,4,12.3,Belmullet
2005,5,11.7,Belmullet
2005,6,11.5,Belmullet
2005,7,9.2,Belmullet
2005,8,10.2,Belmullet
2005,9,12.9,Belmullet
2005,10,12.3,Belmullet
2005,11,11.7,Belmullet
2005,12,10.3,Belmullet
2006,1,13.2,Belmullet
2006,2,12.0,Belmullet
2006,3,10.9,Belmullet
2006,4,10.5,Belmullet
2006,5,11.7,Belmullet
2006,6,10.1,Belmullet
2006,7,10.0,Belmullet
2006,8,10.1,Belmullet
2006,9,10.7,Belmullet
2006,10,10.6,Belmullet
2006,11,13.5,Belmullet
2006,12,16.0,Belmullet
2007,1,17.3,Belmullet
2007,2,11.7,Belmullet
2007,3,13.7,Belmullet
2007,4,8.6,Belmullet
2007,5,10.9,Belmullet
2007,6,9.0,Belmullet
2007,7,9.0,Belmullet
2007,8,8.5,Belmullet
2007,9,7.8,Belmullet
2007,10,9.2,Belmullet
2007,11,11.7,Belmullet
2007,12,17.0,Belmullet
2008,1,15.2,Belmullet
2008,2,12.9,Belmullet
2008,3,13.6,Belmullet
2008,4,9.9,Belmullet
2008,5,8.3,Belmullet
2008,6,11.0,Belmullet
2008,7,10.2,Belmullet
2008,8,10.2,Belmullet
2008,9,11.1,Belmullet
2008,10,16.0,Belmullet
2008,11,12.9,Belmullet
2008,12,12.2,Belmullet
2009,1,14.6,Belmullet
2009,2,10.0,Belmullet
2009,3,13.0,Belmullet
2009,4,11.0,Belmullet
2009,5,12.4,Belmullet
2009,6,9.1,Belmullet
2009,7,11.3,Belmullet
2009,8,13.8,Belmullet
2009,9,11.2,Belmullet
2009,10,10.3,Belmullet
2009,11,13.7,Belmullet
2009,12,10.8,Belmullet
2010,1,10.8,Belmullet
2010,2,7.3,Belmullet
2010,3,9.4,Belmullet
2010,4,10.5,Belmullet
2010,5,9.3,Belmullet
2010,6,8.7,Belmullet
2010,7,12.1,Belmullet
2010,8,9.8,Belmullet
2010,9,11.3,Belmullet
2010,10,11.8,Belmullet
2010,11,10.9,Belmullet
2010,12,7.0,Belmullet
2011,1,9.2,Belmullet
2011,2,11.7,Belmullet
2011,3,10.4,Belmullet
2011,4,10.6,Belmullet
2011,5,16.1,Belmullet
2011,6,10.7,Belmullet
2011,7,8.8,Belmullet
2011,8,8.8,Belmullet
2011,9,15.2,Belmullet
2011,10,13.9,Belmullet
2011,11,13.8,Belmullet
2011,12,17.0,Belmullet
2012,1,14.2,Belmullet
2012,2,12.8,Belmullet
2012,3,11.8,Belmullet
2012,4,10.6,Belmullet
2012,5,10.1,Belmullet
2012,6,9.7,Belmullet
2012,7,9.9,Belmullet
2013,1,13.2,Belmullet
2013,2,11.3,Belmullet
2013,3,10.3,Belmullet
2013,4,12.6,Belmullet
2013,5,12.3,Belmullet
2013,6,10.0,Belmullet
2013,7,8.4,Belmullet
2013,8,11.0,Belmullet
2013,9,10.8,Belmullet
2013,10,11.3,Belmullet
2013,11,10.8,Belmullet
2013,12,18.9,Belmullet
2014,1,13.9,Belmullet
2014,2,15.3,Belmullet
2014,3,12.5,Belmullet
2014,4,10.3,Belmullet
2014,5,12.0,Belmullet
2014,6,8.3,Belmullet
2014,7,9.1,Belmullet
2014,8,10.2,Belmullet
2014,9,7.6,Belmullet
2014,10,14.1,Belmullet
2014,11,9.6,Belmullet
2014,12,14.6,Belmullet
2015,1,17.8,Belmullet
2015,2,12.7,Belmullet
2015,3,14.7,Belmullet
2015,4,10.0,Belmullet
2015,5,12.8,Belmullet
2015,6,12.1,Belmullet
2015,7,11.2,Belmullet
2015,8,12.1,Belmullet
2015,9,9.6,Belmullet
2015,10,9.5,Belmullet
2015,11,15.5,Belmullet
2015,12,17.8,Belmullet
2016,1,13.7,Belmullet
2016,2,13.3,Belmullet
2016,3,12.0,Belmullet
2016,4,11.1,Belmullet
2016,5,10.5,Belmullet
2016,6,9.7,Belmullet
2016,7,10.4,Belmullet
2016,8,12.2,Belmullet
2016,9,14.2,Belmullet
2016,10,9.2,Belmullet
2016,11,10.2,Belmullet
2016,12,15.2,Belmullet
2017,1,12.7,Belmullet
2017,2,13.4,Belmullet
2017,3,12.3,Belmullet
2017,4,10.4,Belmullet
2017,5,10.2,Belmullet
2017,6,13.1,Belmullet
2017,7,10.2,Belmullet
2017,8,10.6,Belmullet
2017,9,12.2,Belmullet
2017,10,14.0,Belmullet
2017,11,11.6,Belmullet
2017,12,12.7,Belmullet
2018,1,14.7,Belmullet
2018,2,13.0,Belmullet
2018,3,10.4,Belmullet
2018,4,12.3,Belmullet
2018,5,12.9,Belmullet
2018,6,8.9,Belmullet
2018,7,9.9,Belmullet
2018,8,10.6,Belmullet
2018,9,12.4,Belmullet
2018,10,13.7,Belmullet
2018,11,13.6,Belmullet
2018,12,13.0,Belmullet
2019,1,11.0,Belmullet
2019,2,15.8,Belmullet
2019,3,14.5,Belmullet
2019,4,11.8,Belmullet
2019,5,9.0,Belmullet
2019,6,11.5,Belmullet
2019,7,10.3,Belmullet
2019,8,11.8,Belmullet
2019,9,10.7,Belmullet
2019,10,12.4,Belmullet
2019,11,9.4,Belmullet
2019,12,14.2,Belmullet
2020,1,17.3,Belmullet
2020,2,17.9,Belmullet
2020,3,14.3,Belmullet
2020,4,9.7,Belmullet
2020,5,11.8,Belmullet
2020,6,11.3,Belmullet
2020,7,10.4,Belmullet
2020,8,10.2,Belmullet
2020,9,11.6,Belmullet
2020,10,12.9,Belmullet
2020,11,12.5,Belmullet
2020,12,13.4,Belmullet
2021,1,9.3,Belmullet
2021,2,15.4,Belmullet
2021,3,13.3,Belmullet
2021,4,9.9,Belmullet
2021,5,10.2,Belmullet
2021,6,11.4,Belmullet
2021,7,6.4,Belmullet
2021,8,8.8,Belmullet
2021,9,9.7,Belmullet
2021,10,12.1,Belmullet
2021,11,12.6,Belmullet
2021,12,12.4,Belmullet
2022,1,13.4,Belmullet
2022,2,17.6,Belmullet
2022,3,10.5,Belmullet
2022,4,10.3,Belmullet
2022,5,13.1,Belmullet
2022,6,12.0,Belmullet
2022,7,8.4,Belmullet
2022,8,10.2,Belmullet
2022,9,8.8,Belmullet
2022,10,13.0,Belmullet
2022,11,15.7,Belmullet
2022,12,10.3,Belmullet
2023,1,13.5,Belmullet
2023,2,14.0,Belmullet
2023,3,11.2,Belmullet
2023,4,11.1,Belmullet
2023,5,9.2,Belmullet
2023,6,9.3,Belmullet
